PredictionString,image_id
0 0.06982536 322.12958 568.4432 384.32477 620.5988 1 0.99214536 558.1376 101.043465 747.76794 355.41882 1 0.19149299 631.9766 255.46487 737.4213 345.8342 1 0.1589964 435.0225 470.6143 564.4763 700.64404 1 0.14130828 469.2173 97.88672 783.95386 414.00082 1 0.07312709 452.96448 591.47626 600.1681 683.503 1 0.071034856 161.54677 362.71338 244.78731 446.22906 1 0.07019742 710.7648 308.42056 785.6854 376.233 1 0.06518775 564.5215 141.89413 670.614 358.33487 1 0.061411 481.30508 191.24908 740.1835 360.43915 1 0.058741342 479.3949 584.11694 560.90283 654.40356 1 0.058727633 418.0594 471.39935 557.07996 549.2301 1 0.058285814 0.9750061 12.750862 434.1607 223.75073 1 0.056969617 615.2521 197.62552 739.4911 339.9398 1 0.05271613 436.68353 545.4107 573.60657 661.8775 3 0.06647341 339.45724 640.483 397.02823 722.8564 5 0.9259775 243.67686 682.4236 301.91202 749.7986 5 0.91014314 339.4381 641.01215 397.19373 722.81683 5 0.8742772 386.7933 682.18195 426.10928 722.066 5 0.81631637 384.27243 677.21686 458.5035 734.69366 5 0.6865612 383.09628 606.3423 463.6774 733.4634 5 0.49566272 326.8042 639.1252 441.66168 727.23553 5 0.35584784 443.81046 554.14435 575.74896 679.52216 5 0.34570292 339.65836 679.9348 399.06186 720.2422 5 0.28174138 362.89285 602.5135 419.7324 641.4626 5 0.2688651 510.2658 643.61365 551.51276 695.979 5 0.2270458 479.4918 580.9891 561.7627 663.51447 5 0.18583636 435.0225 470.6143 564.4763 700.64404 5 0.13061623 319.3895 558.8879 444.70285 635.1257 5 0.10949205 499.72455 640.565 554.836 751.29913 5 0.09974574 348.96848 555.0244 460.66324 734.15625 5 0.07298388 392.7321 627.427 423.73257 687.7716 5 0.065343 470.53036 567.6509 564.18555 612.5414 5 0.0649727 488.02118 591.1876 557.42523 614.9999 5 0.06119985 371.72858 567.04126 420.39386 610.2207 5 0.058527146 330.41196 638.8921 352.19742 685.23303 5 0.056357004 356.47922 562.825 423.64572 648.63043 5 0.05425406 504.273 637.84717 579.45795 696.02026 6 0.05521242 433.3855 468.5348 563.5573 698.3082 7 0.9995023 601.4922 507.94608 943.8147 1017.0714 7 0.99904805 219.07959 57.93846 461.95166 474.26007 7 0.9981725 118.71687 420.7042 324.1045 712.8353 7 0.9904537 399.49152 203.30383 592.42847 546.092 7 0.9829768 566.7346 329.63684 885.78394 607.1844 7 0.9657079 451.88196 599.21765 642.68005 878.1909 7 0.9612885 560.17267 329.96033 713.1091 601.85443 7 0.9415455 266.1017 431.70184 434.4739 608.9285 7 0.66022813 322.76797 568.3365 383.98013 620.86017 7 0.1960475 320.60278 550.05206 444.44873 634.8005 7 0.14488241 332.79858 551.2268 466.25952 736.6561 7 0.11429346 453.06165 570.12604 585.9121 684.8781 7 0.10709441 542.95776 185.07033 575.6051 245.96486 7 0.103049636 479.4918 580.9891 561.7627 663.51447 7 0.09490641 57.01528 452.72998 154.1796 612.42615 7 0.08377627 127.60526 415.13925 196.16199 620.511 7 0.07504835 373.8801 242.34625 896.74634 610.88776 7 0.07095449 175.13991 427.87854 226.90337 450.12848 7 0.06931742 489.78595 599.9761 634.35345 760.3329 7 0.06377995 291.55518 444.53693 462.67035 737.7791 7 0.061257977 381.16446 604.41736 465.09476 734.0121 7 0.053708933 245.07748 159.93262 602.5242 557.1805 ,test/0000.jpg
0 0.34710178 757.5805 653.0544 898.0424 1003.93475 3 0.075633764 136.7936 3.7322235 500.01105 284.6278 5 0.9856893 334.94806 248.27011 758.92255 682.6437 5 0.9200705 135.91902 3.61026 499.51654 283.98508 6 0.3601213 755.25977 648.8887 894.1249 994.802 ,test/0001.jpg
0 0.6237117 663.26794 288.85056 729.4303 323.8409 0 0.44140208 661.31854 288.34344 705.8709 311.5699 0 0.4125251 307.38898 330.16354 1010.6834 376.639 0 0.29756737 876.6715 467.21405 1024.0 631.7962 0 0.24502414 784.93994 436.76422 1024.0 1024.0 0 0.22896883 75.406944 306.40616 328.09647 512.89484 0 0.18732317 3.40036 238.87064 136.78502 467.2579 0 0.14131638 81.89667 278.90967 436.05573 401.7874 0 0.13576195 765.687 227.39539 870.13513 237.68268 0 0.110508405 349.7544 343.7303 728.85254 364.51868 0 0.0866346 668.0689 229.50737 791.2879 325.57303 0 0.076975055 533.72015 344.84415 1013.0247 367.13254 0 0.06288784 270.51746 280.11807 303.83167 404.1025 0 0.051140133 168.88087 332.32132 191.16496 390.5045 0 0.050869998 566.56226 321.30453 993.3093 359.27463 1 0.9720243 291.34363 331.31525 942.40015 753.69574 1 0.96285295 72.863144 296.2614 351.43884 611.51874 1 0.9293963 423.37512 268.90723 637.4507 330.46918 1 0.91635764 669.3091 224.24841 885.7384 330.56897 1 0.77740115 784.99274 431.06955 1024.0 1021.48987 1 0.75011283 337.52032 497.50607 814.15424 747.5812 1 0.53185827 3.6345673 240.77193 141.3817 458.2379 1 0.5026484 80.97333 274.99203 437.76422 399.35104 1 0.22334675 659.66046 229.26685 1004.26483 354.78955 1 0.19785908 675.92224 229.54501 784.2169 326.04398 1 0.10901311 754.08813 221.95009 862.1207 328.85132 1 0.07126514 134.96907 278.4786 426.4239 335.73563 1 0.054953545 324.10202 308.05228 1024.0 371.01157 1 0.05236306 194.39743 317.22043 1020.0392 574.1366 2 0.095676854 5.045433 241.05084 140.5445 416.69122 2 0.07439976 668.0689 229.50737 791.2879 325.57303 4 0.6088024 867.03174 245.61594 914.7184 328.98843 5 0.1638463 992.3713 302.51978 1024.0 401.34418 5 0.13081995 876.7189 467.10443 1024.0 631.45514 7 0.2150381 765.687 227.39539 870.13513 237.68268 7 0.05885145 783.41315 438.948 1024.0 1024.0 ,test/0002.jpg
9 0.91972375 126.10574 242.09647 916.7333 815.3689 ,test/0003.jpg
0 0.45967737 193.84866 318.12988 873.5311 765.3828 0 0.44254434 411.41913 402.33975 652.2398 574.9739 0 0.37297305 379.6096 255.4494 666.19385 571.5598 0 0.15281622 196.96652 432.98877 460.81033 687.589 0 0.11917299 426.49667 503.06964 485.68295 575.70416 0 0.09306075 203.33897 243.93709 657.7808 681.9072 0 0.08587682 420.43378 487.36237 607.2757 573.51654 1 0.66966826 197.12 321.05655 876.4365 766.8844 1 0.060563423 185.32585 412.24182 590.46906 771.20154 1 0.053508915 363.29626 259.59552 690.12476 566.7765 7 0.086422294 255.9382 362.81134 866.24756 757.7397 ,test/0004.jpg
0 0.14161384 355.0059 228.05069 788.5078 700.09216 1 0.07907894 354.567 230.72264 784.2682 690.6646 2 0.9875709 356.23212 228.35466 787.24005 701.31067 7 0.12591588 333.09177 842.314 399.97775 880.56525 ,test/0005.jpg
0 0.9692824 894.65344 790.0768 1020.8823 914.5552 0 0.24029492 185.4931 542.08276 300.619 876.49097 0 0.22769329 600.70703 0.0 696.87585 88.972534 0 0.16403066 296.70312 637.1724 376.26666 750.6042 0 0.14368024 0.20633316 807.9216 90.113846 944.59515 0 0.12275976 10.392189 266.49805 217.27164 494.24866 1 0.07414709 295.9289 636.598 376.1822 750.54407 4 0.9534548 423.29968 4.3905945 682.4739 282.85165 4 0.05849601 349.7251 459.53265 842.3906 722.8223 5 0.98477745 349.042 458.2035 842.4592 722.978 5 0.2443623 185.16583 541.7469 301.4219 876.48553 6 0.053880703 601.03485 0.0 696.2663 88.728424 6 0.051712204 894.61285 789.5903 1021.0191 914.8215 7 0.9743336 270.3976 6.972847 409.5687 171.34521 9 0.08404469 0.2986946 808.094 90.23894 944.56226 ,test/0006.jpg
0 0.4209106 771.31146 85.446625 836.9605 185.73685 0 0.39617714 127.86371 104.3436 935.09454 775.3158 0 0.19322813 291.90543 521.64844 440.35117 670.2356 0 0.16752729 3.7725983 517.2246 315.15833 1024.0 0 0.16254555 636.69543 121.42261 889.558 310.23358 0 0.14430967 109.20523 171.90945 448.5073 737.77673 0 0.09873219 430.6272 391.62164 901.7554 728.98126 0 0.07843631 43.724487 457.3603 960.1058 985.70514 0 0.07717653 268.29657 501.2992 456.6007 745.29944 0 0.066263184 367.98804 671.639 980.08887 1024.0 0 0.060775466 437.77658 877.14136 623.15186 1024.0 0 0.050298303 735.4445 107.40608 795.74445 159.78398 1 0.7144038 887.42633 899.45386 1024.0 1018.8583 1 0.5469684 359.53983 888.61914 536.3279 1023.83215 1 0.4632272 440.15237 881.8947 614.4638 1024.0 1 0.38382086 219.52397 870.5478 581.8414 1023.14105 1 0.3519517 109.20523 171.90945 448.5073 737.77673 1 0.23207049 90.893555 83.29025 949.754 901.8329 1 0.12338353 991.6452 922.9503 1021.37067 1017.0182 1 0.10352355 43.724487 457.3603 960.1058 985.70514 1 0.071613654 771.2192 86.26771 837.8005 186.69647 1 0.06302356 735.4445 107.40608 795.74445 159.78398 1 0.058988415 218.80043 891.9927 397.28076 1024.0 1 0.05879387 3.7725983 517.2246 315.15833 1024.0 7 0.097512886 0.0 861.105 23.978909 1024.0 9 0.7323832 296.82584 104.552185 927.55273 746.4679 9 0.08702075 430.6272 391.62164 901.7554 728.98126 9 0.065885805 297.95422 518.2488 442.96362 662.21313 9 0.059031818 131.41702 498.756 950.06165 977.06116 9 0.05230558 717.5243 180.34033 997.542 578.4938 ,test/0007.jpg
0 0.676087 105.05942 905.40674 167.86926 972.1417 0 0.0722301 0.26885986 2.9061356 309.87094 256.73956 0 0.05562932 674.0403 453.0142 811.48816 710.67786 1 0.8861682 642.78644 636.3785 717.99713 764.74677 1 0.43235812 154.27396 582.52734 198.3847 665.9169 1 0.28210932 105.06926 905.41394 168.20552 972.25806 1 0.2015087 356.01773 495.71115 459.89346 640.1533 1 0.070183486 682.7694 452.1272 815.8866 645.5879 1 0.063850954 712.04156 509.21997 805.7952 525.8512 1 0.063380264 0.26885986 2.9061356 309.87094 256.73956 1 0.063139975 155.13773 619.39667 187.57062 665.3118 5 0.12827471 598.3384 340.97638 736.0333 472.06866 5 0.10196092 262.77908 576.3779 305.20456 668.5171 5 0.10103597 153.24797 583.7274 203.15715 666.19824 5 0.09260299 783.86237 283.02316 973.7211 623.5043 5 0.08664835 3.464981 362.4573 269.35632 644.0923 5 0.05294804 154.93196 530.20966 317.33508 654.5683 6 0.8997155 781.7683 278.27216 975.287 625.89813 7 0.99721354 153.97911 513.6576 473.3277 958.96594 7 0.99346924 384.91635 459.1706 698.9149 883.49835 7 0.9825765 355.62234 124.67874 425.94778 224.16403 7 0.94617856 6.7667313 610.3143 182.24435 882.24225 7 0.9399249 3.5134125 362.6642 269.31592 643.69006 7 0.75426173 0.15641212 528.74884 47.574394 687.10004 7 0.70961034 683.85583 511.94934 795.20984 702.60547 7 0.6627335 555.4174 428.32983 699.3521 643.29285 7 0.6338536 356.6985 498.67352 465.33795 701.7254 7 0.57141846 0.0 360.26648 267.03955 915.4612 7 0.2773918 10.304329 742.10474 160.50659 872.3209 7 0.16383904 225.40709 489.5638 333.74533 560.8801 7 0.15904866 455.71594 451.1236 698.3485 663.57416 7 0.14923738 523.15234 439.27625 809.22754 671.0991 7 0.13333227 146.92047 494.0141 357.67908 664.5147 7 0.123923324 156.94798 503.90643 258.77307 666.476 7 0.081268795 694.1559 471.96317 815.687 626.7035 7 0.0777096 657.0017 420.95874 811.78735 704.37195 7 0.072949246 105.242355 905.19293 167.41594 972.113 7 0.061546355 6.1418667 484.57635 51.08413 778.868 7 0.060836885 215.12416 487.95847 322.27594 631.8506 ,test/0008.jpg
0 0.9833491 280.6587 104.230316 662.21857 1001.0591 0 0.25005722 324.43613 667.31934 648.75037 990.73474 0 0.08633238 287.37735 117.66101 512.96655 809.09576 1 0.1774302 311.7464 119.3736 665.7591 842.0237 ,test/0009.jpg
